0;685821
0.012976;685799
0.018255;685766
0.024338;685736
0.028332;685667
0.034892;685592
0.038047;685590
0.044235;685587
0.059169;685542
0.06008;685540
0.064057;685520
0.070738;685516
0.071613;685501
0.080959;685499
0.084706;685471
0.093584;685456
0.115109;685454
0.116039;685395
0.122617;685394
0.123321;685382
0.12474;685381
0.134465;685380
0.140552;685368
0.149192;685360
0.163045;685350
0.171778;685319
0.18143;685311
0.186431;685309
0.189656;685307
0.202521;685300
0.205472;685299
0.32446;685248
0.325426;685208
0.33073;685147
0.333974;685114
0.381854;684991
0.387738;684978
0.394829;684951
0.397305;684941
0.398951;684933
0.403144;684857
0.417284;684854
0.426928;684748
0.427356;684725
0.464363;684683
0.520845;684668
0.521331;684666
0.566688;684656
0.568033;684632
0.568816;684618
0.590342;684612
0.593817;684604
0.595265;684583
0.667635;684496
0.671239;684493
0.719811;684478
0.727186;684441
0.740458;684426
0.743072;684416
0.743548;684415
0.746304;684414
0.768011;684411
0.768617;684408
0.769505;684391
0.773082;684373
0.78229;684352
0.910478;684203
0.911918;684197
0.915557;684196
0.920191;684172
0.942078;684165
0.942578;684147
0.943413;684142
0.951536;684131
0.952206;684127
0.975539;684113
0.979442;684100
0.989467;684085
1.041666;684081
1.056799;684079
1.06714;684074
1.074713;684070
1.080841;684030
1.092834;684027
1.099294;684025
1.100195;684019
1.10306;684018
1.103713;684000
1.169877;683975
1.188532;683814
1.214452;683811
1.291406;683797
1.30127;683711
1.303277;683707
1.315482;683700
1.323861;683698
1.36008;683669
1.377417;683664
1.467813;683632
1.471258;683629
1.485735;683601
1.509354;683585
1.530997;683533
1.550031;683527
1.553721;683518
1.555124;683512
1.555792;683504
1.561565;683503
1.883204;683459
1.887101;683444
1.893406;683435
1.902747;683431
1.903154;683400
1.903967;683398
1.935401;683397
1.956148;683348
1.960266;683345
2.424988;683336
2.427463;683335
2.433769;683325
2.464335;683323
2.474404;683318
2.635256;683302
2.796016;683240
2.798348;683239
2.819007;683183
2.826754;683085
2.847325;683036
2.851597;683011
2.866339;683010
2.874081;682980
2.878097;682978
2.879335;682976
3.13616;682970
3.186423;682922
3.262351;682919
3.26808;682913
3.288919;682910
3.30298;682892
3.398427;682890
3.400504;682889
3.400942;682885
3.425102;682848
3.428113;682847
3.445466;682839
3.457499;682831
4.012937;682803
4.015131;682792
4.015581;682788
4.018167;682676
4.018536;682672
4.019046;682671
4.028061;682606
4.046585;682597
4.046986;682588
4.04924;682585
4.064907;682580
4.167714;682574
4.192722;682546
4.218189;682471
4.219769;682468
4.229366;682466
4.474028;682463
4.478645;682430
4.6373;682408
4.813479;682396
4.853353;682357
4.916478;682346
4.923912;682271
4.936976;682256
4.9415;682251
4.974869;682244
4.975341;682240
5.002414;682238
5.027354;682235
5.04101;682191
5.041586;682190
5.042366;682188
5.042747;682184
5.060249;682183
5.063731;682175
5.089586;682174
5.117234;682171
5.122509;682161
5.133426;682136
5.156605;682117
