4.068;622788.0
4.139;621995.0
4.268;621339.0
4.353;619338.0
4.437;618651.0
4.455;618528.0
4.55;617218.0
4.64;615749.0
4.688;615648.0
5.432;615556.0
5.449;615273.0
5.566;614032.0
5.601;613464.0
5.624;613408.0
6.381;612811.0
6.394;612737.0
6.454;612736.0
6.718;612318.0
6.721;612314.0
6.723;612266.0
6.724;612258.0
6.727;612231.0
6.729;612226.0
6.734;612154.0
6.734;612153.0
6.742;612005.0
6.744;611970.0
6.745;611962.0
6.747;611952.0
6.749;611826.0
6.776;611806.0
6.777;611802.0
6.782;611716.0
6.794;611520.0
6.799;611455.0
6.801;611446.0
6.803;611443.0
6.805;611442.0
6.811;611380.0
6.814;611379.0
6.819;611355.0
6.82;611353.0
6.821;611345.0
6.823;611334.0
6.825;611291.0
6.827;611288.0
6.833;611266.0
6.857;611222.0
6.858;611220.0
6.86;611176.0
6.862;611070.0
6.87;610980.0
6.87;610976.0
6.873;610967.0
6.874;610961.0
6.875;610951.0
6.877;610929.0
6.879;610910.0
6.88;610907.0
6.881;610893.0
6.883;610887.0
6.886;610867.0
6.898;610523.0
6.9;610512.0
6.904;610454.0
6.91;610400.0
6.92;610185.0
6.922;610182.0
6.924;610143.0
6.927;610130.0
6.934;610120.0
6.937;610101.0
6.94;610094.0
6.955;610089.0
6.96;610083.0
6.961;610082.0
6.963;610053.0
6.963;610044.0
6.966;610019.0
6.967;610014.0
6.969;610001.0
6.975;609995.0
6.976;609898.0
6.978;609894.0
6.979;609887.0
6.984;609883.0
6.986;609871.0
7.015;609786.0
7.027;609766.0
7.029;609706.0
7.03;609673.0
7.037;609592.0
7.038;609579.0
7.041;609575.0
7.043;609571.0
7.049;609503.0
7.053;609492.0
7.115;609481.0
7.121;609400.0
7.132;609372.0
7.133;609367.0
7.136;609365.0
7.139;609356.0
7.14;609350.0
7.141;609347.0
7.143;609292.0
7.147;609256.0
7.217;609251.0
7.219;609247.0
7.226;609177.0
7.227;609175.0
7.228;609167.0
7.239;609166.0
7.266;609115.0
7.286;609013.0
7.29;609008.0
7.332;609003.0
7.34;608883.0
7.354;608860.0
7.362;608855.0
7.426;608841.0
7.427;608805.0
7.428;608802.0
7.429;608791.0
7.436;608745.0
7.437;608741.0
7.441;608674.0
7.444;608612.0
7.467;608579.0
7.472;608475.0
7.475;608467.0
7.476;608463.0
7.477;608454.0
7.534;608448.0
7.537;608428.0
7.537;608427.0
7.538;608425.0
7.538;608409.0
7.54;608397.0
7.54;608396.0
7.56;608390.0
7.566;608379.0
7.585;608304.0
7.608;608232.0
7.611;608162.0
7.771;608154.0
7.798;608137.0
7.81;608115.0
7.811;608100.0
7.813;608096.0
7.814;608088.0
7.816;608075.0
7.821;608055.0
7.824;608030.0
7.885;607969.0
7.89;607815.0
7.913;607798.0
7.95;607772.0
7.952;607770.0
7.954;607756.0
7.955;607741.0
7.96;607679.0
7.964;607595.0
8.06;607591.0
8.063;607504.0
8.067;607451.0
8.071;607343.0
8.073;607319.0
8.075;607316.0
8.085;607292.0
8.093;607280.0
8.095;607250.0
8.098;607237.0
8.1;607201.0
8.12;607196.0
8.125;607193.0
8.129;607189.0
8.131;607174.0
8.132;607167.0
8.18;607072.0
8.185;607023.0
8.225;607014.0
8.227;607007.0
8.234;606955.0
8.236;606941.0
8.244;606929.0
8.246;606921.0
8.249;606849.0
8.254;606811.0
8.265;606809.0
8.268;606751.0
8.271;606750.0
8.273;606735.0
8.298;606700.0
8.303;606684.0
8.318;606661.0
8.319;606651.0
8.414;606640.0
8.418;606518.0
8.519;606496.0
8.532;606487.0
8.545;606486.0
8.57;606437.0
8.571;606421.0
8.574;606411.0
8.575;606393.0
8.591;606377.0
8.596;606371.0
8.6;606336.0
8.612;606322.0
8.625;606315.0
8.642;606308.0
8.645;606306.0
8.662;606301.0
8.664;606299.0
8.681;606297.0
8.682;606266.0
8.683;606257.0
8.685;606249.0
8.691;606180.0
8.709;606175.0
8.823;606118.0
8.853;606090.0
8.856;606056.0
8.868;606030.0
8.871;606011.0
8.873;606010.0
8.881;606003.0
8.882;606002.0
8.885;605991.0
8.886;605973.0
8.944;605914.0
8.986;605912.0
8.988;605909.0
9.03;605863.0
9.033;605846.0
9.039;605827.0
9.04;605826.0
9.049;605814.0
9.06;605721.0
9.068;605710.0
9.07;605695.0
9.082;605675.0
9.083;605673.0
9.084;605638.0
9.108;605601.0
9.124;605535.0
9.126;605507.0
9.129;605495.0
9.131;605490.0
9.155;605480.0
9.158;605463.0
9.163;605435.0
9.164;605432.0
9.166;605431.0
9.245;605429.0
9.279;605410.0
9.33;605364.0
9.332;605329.0
9.372;605277.0
9.386;605244.0
9.388;605224.0
9.394;605221.0
9.395;605199.0
9.471;605180.0
9.472;605170.0
9.473;605168.0
9.475;605154.0
9.477;605138.0
9.489;605125.0
9.499;605091.0
9.501;605073.0
9.502;605071.0
9.515;605042.0
9.516;605036.0
9.517;605033.0
9.519;605025.0
9.521;605020.0
9.524;605010.0
9.526;605002.0
9.688;604990.0
9.748;604947.0
9.751;604937.0
9.752;604932.0
9.761;604909.0
9.829;604887.0
9.846;604863.0
9.847;604862.0
9.848;604860.0
9.86;604859.0
9.861;604856.0
9.877;604809.0
9.88;604800.0
10.05;604785.0
10.05;604784.0
10.065;604755.0
10.067;604738.0
10.071;604727.0
10.073;604720.0
10.077;604715.0
10.257;604627.0
10.26;604552.0
10.273;604550.0
10.351;604481.0
10.378;604476.0
10.448;604427.0
10.472;604421.0
10.484;604411.0
10.517;604399.0
10.517;604390.0
10.753;604389.0
