54.6213,49168
147.865,49098
150.077,48904
199.418,48750
297.197,48748
302.768,48668
346.85,48559
472.352,48503
569.783,48421
611.169,48286
629.282,48183
697.366,48126
730.9,48097
1034.65,48066
1257.15,48055
1330.75,47980
1348.94,47948
1579.29,47919
1682.09,47816
1863.36,47656
2007.22,47642
2159.16,47576
2295.69,47509
2306.48,47416
2505.72,47358
2562.32,47330
2563.7,47220
2969.84,47156
3688.02,47137
3955.69,47117
4068.42,47096
4129.61,47072
4164.73,46910
4864.18,46851
5137.66,46787
5260.14,46604
6612.23,46592
6659.64,46557
6781,46517
7029.87,46503
7238.73,46456
7518.22,46442
7518.8,46411
7748.43,46366
8023.21,46365
8050.27,46320
8265.01,46305
8270.51,46303
8597.09,46271
9056.59,46257
9649.82,46196
9982.01,46187
10215.5,46116
10716.3,46101
10852,46048
11060.5,46038
11069.6,46034
11134.2,46029
11668.2,46020
12048.1,46003
12066.8,45986
12131,45960
12334.1,45951
17703,45614
18441.9,45612
20052.4,45605
20972.2,45603
21459.7,45599
21722.8,45597
22191.8,45570
22403.1,45566
22436.4,45564
23284.9,45562
24214.1,45559
24286.1,45557
24466.7,45546
24535.5,45539
24673.5,45530
25512.4,45524
25528.6,45504
27311.7,45498
35291.5,45266
35386.4,45256
35521.7,45254
36382.6,45252
36668,45245
37460.5,45244
37605.3,45242
38119.7,45241
38760.6,45240
38954.7,45239
39998.9,45235
40055,45234
41784.1,45230
42058.5,45228
42297.4,45227
49668.6,45064
51067.5,45052
52204.1,45047
53116.9,45046
55424.2,45045
55587.5,45042
55989.7,45041
56104,45038
56551.3,45036
56906.8,45035
57245.6,45034
57551.7,45033
57648.7,45031
62617.5,44953
62935.6,44952
63208.6,44951
63479.5,44949
64170,44948
64607.2,44947
64972.8,44942
65157.1,44941
65785.3,44939
66861.5,44937
67925.7,44936
67989.8,44935
69037.1,44929
69813.3,44928
70053.7,44927
70139.4,44926
70491.7,44925
71960.6,44884
72075.1,44882
72389.4,44881
72738.2,44880
72826.9,44879
73188.7,44878
73283.2,44877
73532.1,44873
73980,44872
74161.4,44869
74669,44868
74765,44866
75782.3,44865
76130.3,44863
76326.5,44861
76948.5,44860
77076.3,44859
81186.7,44835
81445.8,44832
81583.4,44831
81819.2,44829
82765.8,44828
83639.5,44827
83751.8,44826
85614.3,44825
85885.9,44824
86318.1,44823
87694.8,44821
88022.3,44820
91765.2,44806
93255.7,44805
94035.5,44804
94899.2,44803
95598.5,44802
95608.6,44801
96955.3,44800
97350.4,44799
97810.9,44798
100076,44793
102660,44791
102797,44790
102867,44789
102900,44788
105916,44787
107457,44786
107949,44785
108122,44784
108337,44783
109130,44782
109908,44781
112424,44780
115670,44777
115700,44776
117547,44775
127939,44773
128391,44772
137263,44771
140078,44770
143378,44769
146559,44768
150953,44767
151510,44766
152294,44765
152331,44764
152846,44763
152961,44761
155467,44760
158241,44759
159632,44758
163610,44757
165158,44755
165444,44754
169653,44753
170298,44752
174526,44751
180080,44750
181769,44749
184516,44748
184585,44747
188785,44746
204608,44744
213453,44726
219045,44725
221231,44724
224705,44723
226064,44722
226955,44721
229249,44720
229462,44718
229574,44717
229787,44716
232398,44715
245137,44714
245958,44713
247315,44711
250832,44710
266814,48720
266864,48711
266911,48679
266927,48581
266931,48479
267052,48469
267114,48370
267133,48168
267169,48070
267500,47993
267520,47976
267626,47897
267859,47766
267936,47700
268037,47519
268173,47504
268465,47499
268529,47492
268716,47483
268843,47305
269408,47260
269435,47177
270123,47101
270761,46901
270802,46863
271350,46835
271704,46821
272072,46819
272484,46623
273300,46577
273490,46573
274043,46566
274054,46528
274231,46495
274830,46446
275362,46374
275596,46363
275782,46359
275981,46355
276087,46327
276090,46318
276260,46309
276801,46308
276824,46298
276990,46282
277219,46273
277888,46249
281324,45817
281690,45804
281790,45803
282197,45792
282815,45786
282822,45785
282915,45781
283227,45754
283913,45736
284311,45733
284498,45726
284566,45677
285150,45674
285271,45621
286105,45614
286362,45581
287445,45575
288453,45574
288582,45573
288786,45559
289289,45558
289635,45527
290302,45526
290459,45521
290601,45508
290932,45506
291841,45502
292055,45451
298531,45081
299975,45035
300229,45026
300311,45012
300324,45005
300579,45002
300633,44997
300651,44996
301354,44994
301386,44990
302552,44987
302658,44986
302698,44980
303763,44977
303836,44975
303997,44972
304150,44968
304151,44966
304370,44960
306138,44937
307110,44925
308235,44916
308618,44912
308727,44910
312338,44828
313242,44827
313474,44824
313846,44821
313911,44818
314309,44816
314522,44815
314692,44814
316568,44813
316931,44812
317359,44811
318685,44808
319417,44807
320185,44806
320222,44804
320559,44803
320622,44802
320746,44797
320926,44796
320964,44795
321305,44794
322410,44790
323266,44789
323365,44788
323635,44786
324371,44784
325736,44783
327799,44769
328869,44768
329377,44767
329566,44764
330392,44762
335277,44714
335724,44713
335899,44712
337736,44710
338269,44709
339686,44707
340167,44706
340865,44705
341793,44697
342571,44695
346740,44646
348056,44645
348355,44644
348415,44643
348932,44641
349101,44640
349954,44639
351994,44636
354389,44635
354421,44633
356102,44632
356414,44631
356762,44630
356919,44628
359508,44626
360885,44625
368241,44615
370185,44614
371331,44613
372277,44612
372340,44611
376008,44605
377274,44604
378289,44603
381464,44602
381839,44600
391735,44591
392182,44590
393256,44589
394549,44588
396459,44587
396718,44586
412827,44585
416406,44577
421016,44576
422913,44574
425761,44569
426564,44568
429763,44567
